Columbia/Barnard;COLU
Ohio State University;OSU
Princeton University;STJ
Notre Dame;ND
Pennsylvania State University;PSU
Harvard University;HARV
Pennsylvania, University of;PENN
Duke University;DUKE
NJ Institute of Technology;NJIT
Stanford University;STAN
Northwestern University;NW
New York University;NYU
Wayne State University;WAYN
Cornell University;CORN
Temple University;TEMP
Yale University;YALE
U.C. San Diego;UCSD
Sacred Heart University;SACR
Boston College;BC
UNC, Chapel Hill;UNC
U.S. Air Force Academy;USAF
Brown University;BROW
University of the Incarnate Word;UIW
Lawrence University;LAWR
M.I.T.;MIT
Farleigh Dickinson University;FDU
University of Detroit Mercy;UDM
Vassar;VAS
